                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
79,0.98143,0.4556,0.84663,1.1208,0.35532,0.83762,0.96631,0.97201,0.99262,0.76669,0.76851,0.38808,0.8159,0.84374,0.26168,0.81114,0.0012377,0.0012377,0.0012377
80,0.96459,0.45205,0.84694,1.0991,0.35512,0.83774,0.96494,0.97646,0.99276,0.76244,0.7775,0.38481,0.81603,0.84762,0.2625,0.81179,0.0012278,0.0012278,0.0012278
81,0.95802,0.44563,0.84333,1.0953,0.34793,0.83598,0.97391,0.97,0.99271,0.76617,0.75418,0.37896,0.814,0.82845,0.25744,0.80984,0.0012179,0.0012179,0.0012179
82,0.94601,0.44384,0.83925,1.0826,0.34677,0.8306,0.97061,0.97379,0.99262,0.77327,0.74598,0.38009,0.81313,0.82446,0.25753,0.80808,0.001208,0.001208,0.001208
83,0.95155,0.44247,0.84392,1.0837,0.35119,0.83509,0.96914,0.97298,0.99309,0.76431,0.74896,0.37856,0.81241,0.83667,0.25962,0.80927,0.0011981,0.0011981,0.0011981
84,0.92388,0.43601,0.83918,1.0618,0.33478,0.83249,0.97325,0.96351,0.99237,0.76363,0.75538,0.38265,0.81212,0.84722,0.26053,0.80907,0.0011882,0.0011882,0.0011882
85,0.93601,0.43707,0.83834,1.0767,0.33744,0.83112,0.97072,0.96952,0.99294,0.76958,0.73807,0.3727,0.8126,0.83359,0.25555,0.8088,0.0011783,0.0011783,0.0011783
86,0.93752,0.438,0.84196,1.0667,0.33915,0.83475,0.97269,0.97301,0.99244,0.78032,0.70934,0.36733,0.80914,0.79472,0.24482,0.80566,0.0011684,0.0011684,0.0011684
87,0.93471,0.44179,0.84196,1.0688,0.34204,0.83366,0.97236,0.97801,0.99363,0.78088,0.72542,0.37435,0.80777,0.80931,0.24469,0.80502,0.0011585,0.0011585,0.0011585
88,0.91108,0.42806,0.84006,1.0481,0.33373,0.83266,0.98315,0.96241,0.99326,0.77747,0.72354,0.36816,0.80956,0.80197,0.24652,0.80576,0.0011486,0.0011486,0.0011486
89,0.92345,0.43282,0.8378,1.0588,0.33931,0.83193,0.97885,0.9716,0.99316,0.78442,0.7087,0.36339,0.80797,0.78029,0.2412,0.80451,0.0011387,0.0011387,0.0011387
90,0.90396,0.42947,0.8388,1.0311,0.3329,0.83044,0.96694,0.97401,0.99279,0.79353,0.70052,0.3584,0.808,0.76091,0.24231,0.80337,0.0011288,0.0011288,0.0011288
91,0.9097,0.42784,0.83952,1.0362,0.33179,0.83178,0.9801,0.96852,0.99317,0.78774,0.71294,0.36122,0.80762,0.77783,0.24306,0.80272,0.0011189,0.0011189,0.0011189
92,0.90013,0.42704,0.83969,1.0288,0.33167,0.83235,0.98368,0.96381,0.99326,0.78752,0.71963,0.3647,0.80895,0.78207,0.24673,0.80437,0.001109,0.001109,0.001109
93,0.92874,0.43254,0.841,1.0649,0.33666,0.83252,0.96172,0.97934,0.99284,0.78757,0.7038,0.3626,0.80893,0.77282,0.24369,0.80328,0.0010991,0.0010991,0.0010991
94,0.88931,0.41943,0.83673,1.0169,0.32425,0.82764,0.98185,0.97314,0.99331,0.7991,0.67179,0.35258,0.80627,0.74142,0.22626,0.80184,0.0010892,0.0010892,0.0010892
95,0.8621,0.41133,0.83556,0.99914,0.31686,0.82753,0.98397,0.96002,0.99307,0.80095,0.68311,0.35515,0.8059,0.74107,0.23331,0.80014,0.0010793,0.0010793,0.0010793
96,0.88942,0.42144,0.8361,1.0277,0.3309,0.82776,0.98126,0.96814,0.99337,0.79075,0.70142,0.35757,0.80716,0.77448,0.23349,0.80239,0.0010694,0.0010694,0.0010694
97,0.88088,0.41633,0.8354,1.0067,0.31928,0.82616,0.9712,0.97401,0.99311,0.80031,0.67516,0.35267,0.8061,0.74064,0.23105,0.80104,0.0010595,0.0010595,0.0010595
